City,Date,Duration (Hours),Cause,Affected Area,Number of Customers Affected,Restoration Time,Comments,Quick_Response,Scaled Duration (Hours),Scaled Number of Customers Affected,Cluster_Labels
Harer,2020-11-01,5.12,Maintenance,Bedesa,197,11/1/2020 5:07,,0,-0.4225340529116214,-0.996329353144111,0
Mojo,2017-02-24,11.46,Maintenance,Mojo Central,154,2/24/2017 11:27,,0,1.570145754203744,-1.1451604165571694,1
Addis Ababa,2018-08-26,9.05,Equipment Failure,Addis East1,1199,8/26/2018 9:03,,0,0.8126759852529505,2.4717805431322737,2
Harer,2018-05-04,7.59,Equipment Failure,PT,263,5/4/2018 7:35,,0,0.3537938845607684,-0.7678909767426725,1
Mojo,2021-06-01,2.72,Maintenance,Mojo Industrial,143,6/1/2021 2:42,QR,1,-1.176860793775482,-1.1832334792907424,0
Harer,2021-01-21,2.72,Accident,Line 2,128,1/21/2021 2:42,QR,1,-1.176860793775482,-1.2351512921092511,0
Addis Ababa,2022-05-08,1.64,Maintenance,Addis East1,1154,5/8/2022 1:38,QR,1,-1.5163078271642196,2.3160271046767478,2
Dire Dawa,2017-07-10,10.53,Maintenance,F5,499,7/10/2017 10:31,,0,1.2778441421189974,0.0489492782685318,1
Hawassa,2019-07-14,7.61,Maintenance,Hawassa South,385,7/14/2019 7:36,,0,0.360079940734634,-0.3456260991521346,1
Dire Dawa,2017-03-07,8.79,Equipment Failure,F3,415,3/7/2017 8:47,,0,0.7309572549926985,-0.2417904735151171,1
Bahir Dar,2018-04-24,1.23,Equipment Failure,Bahir Dar West,454,4/24/2018 1:13,QR,1,-1.6451719787284622,-0.1068041601869943,0
Hawassa,2020-01-12,11.67,Equipment Failure,Hawassa South,640,1/12/2020 11:40,,0,1.6361493440293315,0.5369767187625141,1
Addis Ababa,2017-02-28,10.16,Equipment Failure,Bole Lemi,1141,2/28/2017 10:09,,0,1.161552102902486,2.2710316669007065,2
Mojo,2018-03-12,3.34,Maintenance,Mojo Central,103,3/12/2018 3:20,,0,-0.9819930523856516,-1.321680980140099,0
Bahir Dar,2020-11-24,3.0,Maintenance,Bahir Dar East,698,11/24/2020 3:00,QR,1,-1.0888560073413651,0.7377255949940813,0
Harer,2020-04-08,3.02,Maintenance,Harer Water,147,4/8/2020 3:01,,0,-1.0825699511674995,-1.1693887292058067,0
Bahir Dar,2018-04-28,4.35,Maintenance,Bahir Dar West,347,4/28/2018 4:20,,0,-0.6645472156054436,-0.4771512249590234,0
Addis Ababa,2020-07-14,6.77,Accident,Gelan,919,7/14/2020 6:46,,0,0.0960655814322825,1.5026480371867768,2
Dire Dawa,2021-11-08,5.75,Maintenance,Dire Dawa Substation 1,318,11/8/2021 5:45,,0,-0.224523283434858,-0.577525663074807,0
Harer,2017-01-15,4.2,Maintenance,Line1,141,1/15/2017 4:12,,0,-0.7116926369094347,-1.1901558543332105,0
Hawassa,2021-10-31,7.73,Maintenance,Hawassa Main,347,10/31/2021 7:43,,0,0.3977962777778271,-0.4771512249590234,1
Harer,2021-03-09,2.53,Maintenance,Line1,125,3/9/2021 2:32,QR,1,-1.2365783274272044,-1.245534854672953,0
Bahir Dar,2019-01-16,4.21,Maintenance,Bahir Dar East,520,1/16/2019 4:12,,0,-0.708549608822502,0.1216342162144441,0
Mojo,2017-12-07,5.03,Equipment Failure,Mojo Industrial,271,12/7/2017 5:01,,0,-0.4508213056940162,-0.7402014765728011,0
Bahir Dar,2022-09-28,6.02,Maintenance,Bahir Dar East,454,9/28/2022 6:01,,0,-0.1396615250876738,-0.1068041601869943,0
Dire Dawa,2019-01-08,9.64,Maintenance,F3,355,1/8/2019 9:38,,0,0.9981146423819828,-0.4494617247891521,1
Bahir Dar,2017-07-23,3.2,Maintenance,Bahir Dar East,646,7/23/2017 3:11,,0,-1.02599544560271,0.5577438438899176,0
Mojo,2017-07-31,6.66,Maintenance,Mojo Central,137,7/31/2017 6:39,,0,0.0614922724760224,-1.204000604418146,1
Bahir Dar,2022-01-31,7.52,Equipment Failure,Bahir Dar West,466,1/31/2022 7:30,,0,0.331792687952239,-0.0652699099321873,1
Addis Ababa,2020-08-15,1.51,Maintenance,Nifas Silk,1141,8/15/2020 1:30,QR,1,-1.5571671922943453,2.2710316669007065,2
Dire Dawa,2021-11-03,7.68,Maintenance,F3,508,11/3/2021 7:40,,0,0.3820811373431631,0.0800999659596371,1
Dire Dawa,2021-05-18,2.88,Equipment Failure,F4,427,5/18/2021 2:52,QR,1,-1.126572344384558,-0.2002562232603101,0
Hawassa,2020-03-20,1.72,Equipment Failure,Hawassa Main,693,3/20/2020 1:42,QR,1,-1.4911636024687576,0.7204196573879117,0
Addis Ababa,2022-11-02,11.44,Maintenance,Gelan,1132,11/2/2022 11:26,,0,1.563859698029878,2.2398809792096013,2
Mojo,2019-04-09,11.62,Accident,Mojo Industrial,126,4/9/2019 11:37,,0,1.6204342035946675,-1.242073667151719,1
Mojo,2020-04-23,9.89,Accident,Mojo Central,217,4/23/2020 9:53,,0,1.0766903445553018,-0.9271056027194324,1
Hawassa,2021-12-22,4.35,Maintenance,Hawassa South,690,12/22/2021 4:21,,0,-0.6645472156054436,0.7100360948242099,0
Bahir Dar,2020-09-16,2.07,Maintenance,Bahir Dar East,329,9/16/2020 2:04,QR,1,-1.381157619426111,-0.539452600341234,0
Hawassa,2022-03-03,8.53,Maintenance,Hawassa South,527,3/3/2022 8:31,,0,0.6492385247324469,0.1458625288630815,1
Mojo,2020-06-18,5.84,Accident,Mojo Central,116,6/18/2020 5:50,,0,-0.1962360306524633,-1.2766855423640582,0
Harer,2021-03-24,2.34,Maintenance,Line 2,233,3/24/2021 2:20,QR,1,-1.2962958610789268,-0.8717266023796899,0
Mojo,2017-04-11,6.45,Maintenance,Mojo Central,269,4/11/2017 6:26,,0,-0.0045113173495653,-0.747123851615269,0
Harer,2018-05-15,1.38,Equipment Failure,Fedis,201,5/15/2018 1:22,QR,1,-1.598026557424471,-0.9824846030591752,0
Addis Ababa,2018-09-26,11.0,Maintenance,Addis East1,1042,9/26/2018 11:00,,0,1.4255664622048372,1.9283741022985488,2
Harer,2017-06-24,3.85,Equipment Failure,Line 2,108,6/24/2017 3:50,,0,-0.821698619952081,-1.3043750425339296,0
Dire Dawa,2018-05-25,8.29,Maintenance,F3,657,5/25/2018 8:17,,0,0.5738058506460608,0.5958169066234907,1
Addis Ababa,2017-08-10,4.43,Maintenance,Kality North,846,8/10/2017 4:25,,0,-0.6394029909099815,1.249981348136701,2
Harer,2018-09-01,6.72,Maintenance,Harer No 3,243,9/1/2018 6:43,,0,0.0803504409976188,-0.8371147271673508,1
Bahir Dar,2020-10-24,7.01,Maintenance,Bahir Dar West,451,10/24/2020 7:00,,0,0.1714982555186687,-0.1171877227506961,1
Harer,2019-03-10,3.03,Maintenance,Bedesa,174,3/10/2019 3:02,,0,-1.0794269230805669,-1.075936666132491,0
Addis Ababa,2019-03-22,11.67,Equipment Failure,Addis East1,806,3/22/2019 11:39,,0,1.6361493440293315,1.1115338472873444,1
