City,Date,Duration (Hours),Cause,Affected Area,Number of Customers Affected,Restoration Time,Comments,Quick_Response,Scaled Duration (Hours),Scaled Number of Customers Affected
Harer,2020-11-01,5.12,Maintenance,Bedesa,197,11/1/2020 5:07,,0,-0.42253405291162144,-0.996329353144111
Mojo,2017-02-24,11.46,Maintenance,Mojo Central,154,2/24/2017 11:27,,0,1.570145754203744,-1.1451604165571694
Addis Ababa,2018-08-26,9.05,Equipment Failure,Addis East1,1199,8/26/2018 9:03,,0,0.8126759852529505,2.4717805431322737
Harer,2018-05-04,7.59,Equipment Failure,PT,263,5/4/2018 7:35,,0,0.3537938845607684,-0.7678909767426725
Mojo,2021-06-01,2.72,Maintenance,Mojo Industrial,143,6/1/2021 2:42,QR,1,-1.176860793775482,-1.1832334792907424
Harer,2021-01-21,2.72,Accident,Line 2,128,1/21/2021 2:42,QR,1,-1.176860793775482,-1.2351512921092511
Addis Ababa,2022-05-08,1.64,Maintenance,Addis East1,1154,5/8/2022 1:38,QR,1,-1.5163078271642196,2.3160271046767473
Dire Dawa,2017-07-10,10.53,Maintenance,F5,499,7/10/2017 10:31,,0,1.2778441421189974,0.04894927826853188
Hawassa,2019-07-14,7.61,Maintenance,Hawassa South,385,7/14/2019 7:36,,0,0.360079940734634,-0.3456260991521346
Dire Dawa,2017-03-07,8.79,Equipment Failure,F3,415,3/7/2017 8:47,,0,0.7309572549926985,-0.24179047351511712
Bahir Dar,2018-04-24,1.23,Equipment Failure,Bahir Dar West,454,4/24/2018 1:13,QR,1,-1.6451719787284622,-0.10680416018699436
Hawassa,2020-01-12,11.67,Equipment Failure,Hawassa South,640,1/12/2020 11:40,,0,1.6361493440293315,0.5369767187625141
Addis Ababa,2017-02-28,10.16,Equipment Failure,Bole Lemi,1141,2/28/2017 10:09,,0,1.161552102902486,2.2710316669007065
Mojo,2018-03-12,3.34,Maintenance,Mojo Central,103,3/12/2018 3:20,,0,-0.9819930523856515,-1.321680980140099
Bahir Dar,2020-11-24,3.0,Maintenance,Bahir Dar East,698,11/24/2020 3:00,QR,1,-1.0888560073413651,0.7377255949940813
Harer,2020-04-08,3.02,Maintenance,Harer Water,147,4/8/2020 3:01,,0,-1.0825699511674995,-1.1693887292058067
Bahir Dar,2018-04-28,4.35,Maintenance,Bahir Dar West,347,4/28/2018 4:20,,0,-0.6645472156054436,-0.47715122495902346
Addis Ababa,2020-07-14,6.77,Accident,Gelan,919,7/14/2020 6:46,,0,0.09606558143228257,1.5026480371867768
Dire Dawa,2021-11-08,5.75,Maintenance,Dire Dawa Substation 1,318,11/8/2021 5:45,,0,-0.22452328343485808,-0.577525663074807
